Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2717,Cittadella,Local,ALL,14/08/2021,,2,40%,0.00,4,8,1,2,16,301,13,22,3,,5,1,2,1,6,2,2,2,2,,3,6,224,11,59,,26/65 (40%),2/10 (20%),52%,9,37/73 (51%),17/31 (55%),2/5 (40%),92%,13,10,,16,,1,,,,,7
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2717,Cittadella,Local,1ST,14/08/2021,,2,44%,0.00,2,5,0,1,,170,7,13,1,,4,0,0,1,4,1,2,0,1,,1,1,137,8,28,,15/31 (48%),2/5 (40%),59%,5,21/39 (54%),9/12 (75%),1/3 (33%),100%,7,5,,9,,0,,,,,2
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2717,Cittadella,Local,2ND,14/08/2021,,0,36%,0.00,2,3,1,1,,131,6,9,2,,1,1,2,0,2,1,0,2,1,,2,5,87,3,31,,11/34 (32%),0/5 (0%),45%,4,16/34 (47%),8/19 (42%),1/2 (50%),83%,6,5,,7,,1,,,,,5
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2729,Monza,Visita,ALL,14/08/2021,,1,60%,0.00,2,10,3,6,22,455,12,15,2,,2,1,4,4,8,2,0,2,0,,2,3,366,25,59,,34/66 (52%),3/20 (15%),48%,7,36/73 (49%),14/31 (45%),10/16 (63%),50%,12,9,,10,,3,,,,,3
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2729,Monza,Visita,1ST,14/08/2021,,1,56%,0.00,0,2,2,2,,218,7,8,1,,1,0,0,1,1,1,0,0,0,,1,0,176,16,24,,16/28 (57%),1/8 (13%),41%,3,18/39 (46%),3/12 (25%),3/7 (43%),57%,7,4,,6,,2,,,,,1
9701203,328,37611,NORMAL,REGULAR,Regular Season,CUP,2729,Monza,Visita,2ND,14/08/2021,,0,64%,0.00,2,8,1,4,,237,5,7,1,,1,1,4,3,7,1,0,2,0,,1,3,190,9,35,,18/38 (47%),2/12 (17%),55%,4,18/34 (53%),11/19 (58%),7/9 (78%),40%,5,5,,4,,1,,,,,2
9671270,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2717,Cittadella,Local,ALL,21/08/2021,1,1,54%,0.00,2,15,2,9,24,327,16,19,6,,6,0,7,2,11,4,,2,1,,5,5,230,31,49,,17/52 (33%),9/32 (28%),50%,13,43/91 (47%),21/36 (58%),8/13 (62%),50%,16,6,,9,,2,,,,,4
9671270,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2717,Cittadella,Local,1ST,21/08/2021,1,0,57%,0.00,0,7,0,5,,169,8,12,0,,2,0,5,0,5,2,,0,0,,3,2,126,17,22,,7/22 (32%),8/19 (42%),49%,8,24/51 (47%),12/22 (55%),4/8 (50%),63%,8,3,,5,,0,,,,,1
9671270,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2717,Cittadella,Local,2ND,21/08/2021,1,,51%,0.00,2,8,2,4,,158,8,7,6,,4,0,2,2,6,2,,2,1,,2,3,104,14,27,,10/30 (33%),1/13 (8%),52%,5,19/40 (48%),9/14 (64%),4/5 (80%),38%,8,3,,4,,2,,,,,3
9671270,53,37642,NORMAL,REGULAR,Round 1,LEAGUE,2722,L.R. Vicenza,Visita,ALL,21/08/2021,1,0,46%,0.00,1,6,5,2,23,287,18,24,4,,2,0,4,0,4,2,,1,1,,3,5,190,18,57,,31/68 (46%),3/15 (20%),50%,8,48/91 (53%),15/36 (42%),6/14 (43%),44%,18,19,,14,,5,,,,,10
