Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,ALL,18/07/2021,1,1,56%,0.00,4,20,4,7,12,473,14,21,3,,7,1,7,6,14,6,1,3,1,,6,2,380,13,61,,33/65 (51%),5/14 (36%),46%,9,41/84 (49%),11/28 (39%),7/21 (33%),57%,14,13,,13,,4,,,,,8
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,1ST,18/07/2021,1,1,58%,0.00,2,5,3,1,,246,9,11,0,,3,1,2,0,4,1,1,1,0,,2,2,201,6,26,,15/31 (48%),0/4 (0%),50%,3,22/43 (51%),5/11 (45%),3/11 (27%),44%,9,8,,7,,3,,,,,3
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1292,FC Nordsjælland,Local,2ND,18/07/2021,1,0,55%,0.00,2,15,1,6,,227,5,10,3,,4,0,5,6,10,5,0,2,1,,4,0,179,7,35,,18/34 (53%),5/10 (50%),43%,6,19/41 (46%),6/17 (35%),4/10 (40%),80%,5,5,,6,,1,,,,,5
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,ALL,18/07/2021,1,2,44%,0.00,4,13,6,10,21,358,23,11,5,,6,0,4,3,11,2,1,3,1,,2,1,270,15,42,,30/65 (46%),5/23 (22%),54%,9,43/84 (51%),17/28 (61%),9/14 (64%),39%,23,5,,21,,6,,,,,10
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,1ST,18/07/2021,1,1,42%,0.00,2,7,2,7,,174,11,5,1,,4,0,2,1,5,2,0,2,1,,1,1,136,4,20,,12/26 (46%),3/14 (21%),50%,7,21/43 (49%),6/11 (55%),5/7 (71%),36%,11,2,,4,,2,,,,,4
9555040,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1288,Viborg FF,Visita,2ND,18/07/2021,1,1,45%,0.00,2,6,4,3,,184,12,6,4,,2,0,2,2,6,0,1,1,0,,1,0,134,11,22,,18/39 (46%),2/9 (22%),57%,2,22/41 (54%),11/17 (65%),4/7 (57%),42%,12,3,,17,,4,,,,,6
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,ALL,25/07/2021,2,1,53%,0.00,3,16,3,5,9,495,15,9,3,,4,0,6,6,10,6,,3,,,3,1,384,27,77,,45/94 (48%),6/15 (40%),44%,7,33/66 (50%),15/43 (35%),9/19 (47%),67%,15,13,,17,,3,,,,,8
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,1ST,25/07/2021,2,1,51%,0.00,3,7,2,1,,253,9,5,0,,2,0,3,2,5,2,,3,,,2,1,202,14,32,,24/44 (55%),0/2 (0%),50%,5,21/39 (54%),10/23 (43%),7/13 (54%),44%,9,8,,9,,2,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1281,Brøndby IF,Local,2ND,25/07/2021,2,0,56%,0.00,0,9,1,4,,242,6,4,3,,2,0,3,4,5,4,,0,,,1,0,182,13,45,,21/50 (42%),6/13 (46%),36%,2,12/27 (44%),5/20 (25%),2/6 (33%),100%,6,5,,8,,1,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1288,Viborg FF,Visita,ALL,25/07/2021,2,1,47%,0.00,0,15,2,6,9,434,17,9,5,,4,0,6,5,9,6,,0,,,1,1,337,24,60,,27/59 (46%),3/16 (19%),56%,6,33/66 (50%),28/43 (65%),7/16 (44%),59%,17,8,,12,,2,,,,,9
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1288,Viborg FF,Visita,1ST,25/07/2021,2,0,49%,0.00,0,8,0,4,,240,11,5,2,,2,0,3,3,4,4,,0,,,0,0,193,9,32,,10/26 (38%),3/10 (30%),50%,4,18/39 (46%),13/23 (57%),2/7 (29%),73%,11,4,,4,,0,,,,,4
9555058,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1288,Viborg FF,Visita,2ND,25/07/2021,2,1,44%,0.00,0,7,2,2,,194,6,4,3,,2,0,3,2,5,2,,0,,,1,1,144,15,28,,17/33 (52%),0/6 (0%),64%,2,15/27 (56%),15/20 (75%),5/9 (56%),33%,6,4,,8,,2,,,,,5
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1288,Viborg FF,Local,ALL,31/07/2021,3,0,54%,0.00,1,12,4,10,6,395,9,6,1,,5,0,5,2,8,4,,1,0,,1,4,288,28,51,,20/65 (31%),7/23 (30%),40%,7,17/42 (40%),18/45 (40%),3/8 (38%),89%,9,11,,23,,4,,,,,9
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1288,Viborg FF,Local,1ST,31/07/2021,3,0,55%,0.00,0,3,3,2,,196,5,4,1,,2,0,1,0,1,2,,0,0,,1,1,147,15,24,,14/35 (40%),1/8 (13%),45%,5,11/25 (44%),10/22 (45%),2/5 (40%),100%,5,5,,10,,3,,,,,7
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1288,Viborg FF,Local,2ND,31/07/2021,3,0,53%,0.00,1,9,1,8,,199,4,2,0,,3,0,4,2,7,2,,1,0,,0,3,141,13,27,,6/30 (20%),6/15 (40%),35%,2,6/17 (35%),8/23 (35%),1/3 (33%),75%,4,6,,13,,1,,,,,2
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1289,FC Midtjylland,Visita,ALL,31/07/2021,3,2,46%,0.00,7,16,5,9,8,340,12,6,2,,7,3,5,4,11,5,,7,4,,2,1,229,26,55,,23/74 (31%),5/18 (28%),60%,4,25/42 (60%),27/45 (60%),8/13 (62%),83%,12,17,,27,,5,,,,,7
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1289,FC Midtjylland,Visita,1ST,31/07/2021,3,0,45%,0.00,5,9,2,7,,154,8,3,1,,4,2,5,0,6,3,,5,3,,1,0,102,12,30,,10/34 (29%),4/11 (36%),55%,2,14/25 (56%),12/22 (55%),4/7 (57%),88%,8,7,,10,,2,,,,,2
9555042,39,36834,NORMAL,REGULAR,Round 3,LEAGUE,1289,FC Midtjylland,Visita,2ND,31/07/2021,3,2,47%,0.00,2,7,3,2,,186,4,3,1,,3,1,0,4,5,2,,2,1,,1,1,127,14,25,,13/40 (33%),1/7 (14%),65%,2,11/17 (65%),15/23 (65%),4/6 (67%),75%,4,10,,17,,3,,,,,5
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1285,Silkeborg IF,Local,ALL,06/08/2021,4,4,50%,0.00,3,14,3,1,9,514,12,13,2,,10,1,2,2,11,3,2,1,3,,1,2,427,19,52,,33/59 (56%),2/7 (29%),56%,3,32/59 (54%),17/29 (59%),9/15 (60%),58%,12,20,,34,,3,,,,,11
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1285,Silkeborg IF,Local,1ST,06/08/2021,4,1,56%,0.00,1,5,1,0,,313,9,6,1,,2,1,2,1,4,1,1,0,0,,1,1,262,11,30,,18/30 (60%),1/4 (25%),60%,2,18/31 (58%),9/14 (64%),3/5 (60%),56%,9,7,,10,,1,,,,,6
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1285,Silkeborg IF,Local,2ND,06/08/2021,4,3,43%,0.00,2,9,2,1,,201,3,7,1,,8,0,0,1,7,2,1,1,3,,0,1,165,8,22,,15/29 (52%),1/3 (33%),51%,1,14/28 (50%),8/15 (53%),6/10 (60%),67%,3,13,,24,,2,,,,,5
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1288,Viborg FF,Visita,ALL,06/08/2021,4,1,50%,0.00,3,17,6,5,13,505,9,9,3,,4,1,6,7,10,7,0,3,0,,2,1,426,24,66,,40/65 (62%),6/29 (21%),44%,9,27/59 (46%),12/29 (41%),9/12 (75%),67%,9,7,,9,,6,,,,,4
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1288,Viborg FF,Visita,1ST,06/08/2021,4,0,44%,0.00,2,9,1,2,,247,4,5,1,,1,1,3,5,5,4,0,2,0,,0,1,208,10,32,,21/33 (64%),1/8 (13%),40%,6,13/31 (42%),5/14 (36%),4/7 (57%),50%,4,7,,7,,1,,,,,3
9555052,39,36834,NORMAL,REGULAR,Round 4,LEAGUE,1288,Viborg FF,Visita,2ND,06/08/2021,4,1,57%,0.00,1,8,5,3,,258,5,4,2,,3,0,3,2,5,3,0,1,0,,2,0,218,14,34,,19/32 (59%),5/21 (24%),49%,3,14/28 (50%),7/15 (47%),5/5 (100%),80%,5,0,,2,,5,,,,,1
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1288,Viborg FF,Local,ALL,13/08/2021,5,1,56%,0.00,4,30,3,7,7,460,15,6,4,,6,1,13,11,20,10,1,3,,,1,0,357,30,68,,32/65 (49%),8/29 (28%),51%,5,27/53 (51%),34/67 (51%),6/14 (43%),47%,15,8,,19,,3,,,,,7
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1288,Viborg FF,Local,1ST,13/08/2021,5,1,52%,0.00,1,9,3,4,,191,5,2,1,,3,0,4,2,5,4,1,0,,,0,0,149,15,31,,19/33 (58%),3/13 (23%),46%,2,9/22 (41%),16/32 (50%),2/7 (29%),40%,5,4,,12,,3,,,,,5
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1288,Viborg FF,Local,2ND,13/08/2021,5,0,60%,0.00,3,21,0,3,,269,10,4,3,,3,1,9,9,15,6,0,3,,,1,0,208,15,37,,13/32 (41%),5/16 (31%),55%,3,18/31 (58%),18/35 (51%),4/7 (57%),50%,10,4,,7,,0,,,,,2
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1301,Randers FC,Visita,ALL,13/08/2021,5,2,44%,0.00,1,10,5,5,7,359,13,7,1,,5,0,3,2,7,3,1,0,,,2,2,247,27,69,,24/76 (32%),6/20 (30%),49%,9,26/53 (49%),33/67 (49%),7/13 (54%),69%,13,19,,33,,5,,,,,13
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1301,Randers FC,Visita,1ST,13/08/2021,5,2,48%,0.00,1,7,2,4,,172,7,3,0,,5,0,2,0,5,2,1,0,,,1,1,115,12,24,,12/37 (32%),5/14 (36%),54%,4,13/22 (59%),16/32 (50%),3/4 (75%),57%,7,8,,11,,2,,,,,6
9555088,39,36834,NORMAL,REGULAR,Round 5,LEAGUE,1301,Randers FC,Visita,2ND,13/08/2021,5,0,40%,0.00,0,3,3,1,,187,6,4,1,,0,0,1,2,2,1,0,0,,,1,1,132,15,45,,12/39 (31%),1/6 (17%),45%,5,13/31 (42%),17/35 (49%),4/9 (44%),83%,6,11,,22,,3,,,,,7
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1288,Viborg FF,Local,ALL,22/08/2021,6,2,47%,0.00,3,22,2,8,16,342,13,15,4,,7,0,12,3,17,5,1,2,2,,2,0,254,25,64,,35/82 (43%),7/21 (33%),47%,9,35/72 (49%),22/49 (45%),7/14 (50%),69%,13,8,,39,,2,,,,,10
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1288,Viborg FF,Local,1ST,22/08/2021,6,2,49%,0.00,2,6,2,3,,202,9,8,1,,4,0,2,0,4,2,1,1,1,,2,0,161,8,30,,25/46 (54%),2/11 (18%),47%,4,19/35 (54%),7/20 (35%),2/7 (29%),67%,9,2,,21,,2,,,,,5
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1288,Viborg FF,Local,2ND,22/08/2021,6,0,44%,0.00,1,16,0,5,,140,4,7,3,,3,0,10,3,13,3,0,1,1,,0,0,93,17,34,,10/36 (28%),5/10 (50%),47%,5,16/37 (43%),15/29 (52%),5/7 (71%),75%,4,6,,18,,0,,,,,5
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1291,AGF,Visita,ALL,22/08/2021,6,0,53%,0.00,1,16,5,4,15,384,16,15,2,,2,0,6,8,8,8,0,1,0,,6,1,284,26,64,,39/80 (49%),5/27 (19%),53%,4,37/72 (51%),27/49 (55%),6/15 (40%),50%,16,11,,27,,5,,,,,9
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1291,AGF,Visita,1ST,22/08/2021,6,0,51%,0.00,0,7,2,1,,208,9,4,1,,2,0,1,4,3,4,0,0,0,,0,0,152,15,34,,18/41 (44%),2/12 (17%),53%,4,16/35 (46%),13/20 (65%),3/8 (38%),44%,9,5,,14,,2,,,,,1
9555101,39,36834,NORMAL,REGULAR,Round 6,LEAGUE,1291,AGF,Visita,2ND,22/08/2021,6,0,56%,0.00,1,9,3,3,,176,7,11,1,,0,0,5,4,5,4,0,1,0,,6,1,132,11,30,,21/39 (54%),3/15 (20%),53%,0,21/37 (57%),14/29 (48%),3/7 (43%),57%,7,6,,13,,3,,,,,8
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1295,Sønderjyske Fodbold,Local,ALL,29/08/2021,7,2,51%,0.00,3,22,1,5,6,396,11,21,0,,6,0,9,7,14,8,1,2,0,,3,6,303,20,64,,39/81 (48%),10/25 (40%),58%,5,40/70 (57%),23/38 (61%),8/18 (44%),73%,11,19,,13,,1,,,,,8
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1295,Sønderjyske Fodbold,Local,1ST,29/08/2021,7,1,52%,0.00,2,5,0,1,,238,5,10,0,,1,0,2,2,4,1,1,1,0,,0,2,192,9,35,,29/52 (56%),3/10 (30%),50%,2,15/31 (48%),9/17 (53%),0/2 (0%),60%,5,10,,5,,0,,,,,6
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1295,Sønderjyske Fodbold,Local,2ND,29/08/2021,7,1,49%,0.00,1,17,1,4,,158,6,11,0,,5,0,7,5,10,7,0,1,0,,3,4,111,11,29,,10/29 (34%),7/15 (47%),65%,3,25/39 (64%),14/21 (67%),8/16 (50%),83%,6,9,,8,,1,,,,,2
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1288,Viborg FF,Visita,ALL,29/08/2021,7,2,49%,0.00,2,13,4,5,21,388,15,6,5,,4,0,6,3,10,3,1,1,1,,0,2,293,14,48,,23/57 (40%),5/18 (28%),42%,7,30/70 (43%),15/38 (39%),10/14 (71%),53%,15,4,,29,,4,,,,,10
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1288,Viborg FF,Visita,1ST,29/08/2021,7,1,48%,0.00,0,8,0,3,,219,4,3,1,,1,0,4,3,6,2,0,0,0,,0,1,166,7,22,,12/31 (39%),3/8 (38%),50%,3,16/31 (52%),8/17 (47%),9/11 (82%),50%,4,4,,11,,0,,,,,3
9555073,39,36834,NORMAL,REGULAR,Round 7,LEAGUE,1288,Viborg FF,Visita,2ND,29/08/2021,7,1,51%,0.00,2,5,4,2,,169,11,3,4,,3,0,2,0,4,1,1,1,1,,0,1,127,7,26,,11/26 (42%),2/10 (20%),35%,4,14/39 (36%),7/21 (33%),1/3 (33%),55%,11,0,,18,,4,,,,,7
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1288,Viborg FF,Local,ALL,12/09/2021,8,2,54%,0.00,3,21,3,11,9,413,17,6,2,,7,0,9,5,12,9,2,1,,,3,2,336,18,64,,29/66 (44%),5/25 (20%),49%,12,30/57 (53%),18/41 (44%),7/13 (54%),53%,17,7,,18,,3,,,,,6
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1288,Viborg FF,Local,1ST,12/09/2021,8,1,40%,0.00,2,10,2,6,,145,7,1,1,,2,0,4,4,5,5,1,1,,,1,2,107,8,19,,13/32 (41%),1/10 (10%),40%,5,10/24 (42%),10/26 (38%),2/5 (40%),57%,7,6,,12,,2,,,,,4
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1288,Viborg FF,Local,2ND,12/09/2021,8,1,68%,0.00,1,11,1,5,,268,10,5,1,,5,0,5,1,7,4,1,0,,,2,0,229,10,45,,16/34 (47%),4/15 (27%),58%,7,20/33 (61%),8/15 (53%),5/8 (63%),50%,10,1,,6,,1,,,,,2
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1290,AaB,Visita,ALL,12/09/2021,8,3,46%,0.00,5,16,5,8,7,353,18,9,1,,6,1,4,6,12,4,2,3,,,0,2,267,16,43,,21/59 (36%),6/18 (33%),51%,9,27/57 (47%),23/41 (56%),1/9 (11%),83%,18,8,,26,,5,,,,,13
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1290,AaB,Visita,1ST,12/09/2021,8,1,60%,0.00,2,10,1,4,,226,8,6,0,,3,0,3,4,6,4,0,2,,,0,2,181,12,24,,13/26 (50%),5/13 (38%),60%,5,14/24 (58%),16/26 (62%),1/3 (33%),88%,8,2,,7,,1,,,,,4
9555075,39,36834,NORMAL,REGULAR,Round 8,LEAGUE,1290,AaB,Visita,2ND,12/09/2021,8,2,32%,0.00,3,6,4,4,,127,10,3,1,,3,1,1,2,6,0,2,1,,,0,0,86,4,19,,8/33 (24%),1/5 (20%),42%,4,13/33 (39%),7/15 (47%),0/6 (0%),80%,10,6,,19,,4,,,,,9
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,4872,Vejle,Local,ALL,19/09/2021,9,1,45%,0.00,1,19,1,3,5,358,18,14,1,,7,0,7,5,12,7,1,0,,,4,2,256,23,56,,34/71 (48%),4/17 (24%),51%,17,40/78 (51%),23/46 (50%),8/20 (40%),56%,18,16,,18,,1,,,,,14
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,4872,Vejle,Local,1ST,19/09/2021,9,1,48%,0.00,1,10,1,3,,195,10,8,0,,2,0,4,4,6,4,1,0,,,0,1,142,10,29,,16/35 (46%),3/10 (30%),59%,7,20/35 (57%),14/23 (61%),2/7 (29%),60%,10,7,,6,,1,,,,,7
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,4872,Vejle,Local,2ND,19/09/2021,9,0,42%,0.00,0,9,0,0,,163,8,6,1,,5,0,3,1,6,3,0,0,,,4,1,114,13,27,,18/36 (50%),1/7 (14%),44%,10,20/43 (47%),9/23 (39%),6/13 (46%),50%,8,9,,12,,0,,,,,7
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1288,Viborg FF,Visita,ALL,19/09/2021,9,1,55%,0.00,5,16,6,5,14,433,29,5,1,,2,0,12,2,9,7,1,4,,,1,3,334,17,66,,21/59 (36%),4/23 (17%),49%,8,38/78 (49%),23/46 (50%),4/14 (29%),55%,29,6,,22,,6,,,,,11
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1288,Viborg FF,Visita,1ST,19/09/2021,9,1,52%,0.00,2,9,1,1,,214,12,1,0,,2,0,6,1,5,4,1,1,,,0,1,166,8,34,,6/26 (23%),2/7 (29%),41%,6,15/35 (43%),9/23 (39%),2/6 (33%),42%,12,3,,9,,1,,,,,7
9555013,39,36834,NORMAL,REGULAR,Round 9,LEAGUE,1288,Viborg FF,Visita,2ND,19/09/2021,9,0,58%,0.00,3,7,5,4,,219,17,4,1,,0,0,6,1,4,3,0,3,,,1,2,168,9,32,,15/33 (45%),2/16 (13%),56%,2,23/43 (53%),14/23 (61%),2/8 (25%),65%,17,3,,13,,5,,,,,4
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1288,Viborg FF,Local,ALL,26/09/2021,10,1,55%,0.00,1,16,1,3,13,503,17,8,2,,6,0,5,5,10,6,1,0,0,,5,,396,17,74,,26/62 (42%),7/22 (32%),51%,9,34/71 (48%),15/25 (60%),10/11 (91%),24%,17,17,,14,,1,,,,,8
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1288,Viborg FF,Local,1ST,26/09/2021,10,1,53%,0.00,1,9,1,2,,239,8,3,0,,4,0,1,4,6,3,1,0,0,,2,,186,6,28,,12/31 (39%),6/12 (50%),47%,4,13/27 (48%),4/9 (44%),3/3 (100%),25%,8,8,,8,,1,,,,,7
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1288,Viborg FF,Local,2ND,26/09/2021,10,0,58%,0.00,0,7,0,1,,264,9,5,2,,2,0,4,1,4,3,0,0,0,,3,,210,11,46,,14/31 (45%),1/10 (10%),53%,5,21/44 (48%),11/16 (69%),7/8 (88%),22%,9,9,,6,,0,,,,,1
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1286,Odense Boldklub,Visita,ALL,26/09/2021,10,1,45%,0.00,1,13,5,4,8,417,10,13,2,,4,0,4,5,9,4,0,1,1,,2,,320,21,53,,15/46 (33%),2/10 (20%),49%,6,37/71 (52%),10/25 (40%),14/25 (56%),60%,10,18,,22,,5,,,,,10
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1286,Odense Boldklub,Visita,1ST,26/09/2021,10,0,47%,0.00,1,9,3,3,,219,4,5,2,,3,0,3,3,6,3,0,1,1,,1,,175,7,30,,7/23 (30%),2/5 (40%),53%,3,14/27 (52%),5/9 (56%),5/10 (50%),75%,4,9,,10,,3,,,,,4
9555087,39,36834,NORMAL,REGULAR,Round 10,LEAGUE,1286,Odense Boldklub,Visita,2ND,26/09/2021,10,1,42%,0.00,0,4,2,1,,198,6,8,0,,1,0,1,2,3,1,0,0,0,,1,,145,14,23,,8/23 (35%),0/5 (0%),47%,3,23/44 (52%),5/16 (31%),9/15 (60%),50%,6,9,,12,,2,,,,,6
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1284,FC København,Local,ALL,03/10/2021,11,1,58%,0.00,0,13,1,8,5,530,15,13,2,,6,1,4,3,5,8,,0,,,2,0,433,16,72,,29/61 (48%),4/27 (15%),58%,8,30/57 (53%),23/34 (68%),2/8 (25%),53%,15,11,,34,,1,,,,,4
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1284,FC København,Local,1ST,03/10/2021,11,0,63%,0.00,0,6,0,4,,315,6,6,1,,3,0,2,1,2,4,,0,,,1,0,272,10,44,,15/29 (52%),1/14 (7%),52%,3,14/31 (45%),8/11 (73%),2/7 (29%),50%,6,3,,11,,0,,,,,3
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1284,FC København,Local,2ND,03/10/2021,11,1,51%,0.00,0,7,1,4,,215,9,7,1,,3,1,2,2,3,4,,0,,,1,0,161,6,28,,14/32 (44%),3/13 (23%),63%,5,16/26 (62%),15/23 (65%),0/1 (0%),56%,9,8,,23,,1,,,,,1
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1288,Viborg FF,Visita,ALL,03/10/2021,11,1,42%,0.00,1,10,5,10,13,379,14,5,0,,1,0,3,6,2,8,,1,,,1,2,268,25,46,,25/65 (38%),2/22 (9%),42%,6,27/57 (47%),11/34 (32%),8/17 (47%),64%,14,11,,35,,5,,,,,7
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1288,Viborg FF,Visita,1ST,03/10/2021,11,0,37%,0.00,1,6,3,2,,184,8,4,0,,0,0,3,3,2,4,,1,,,0,1,137,12,23,,11/30 (37%),1/6 (17%),48%,3,17/31 (55%),3/11 (27%),5/8 (63%),75%,8,6,,21,,3,,,,,2
9555077,39,36834,NORMAL,REGULAR,Round 11,LEAGUE,1288,Viborg FF,Visita,2ND,03/10/2021,11,1,49%,0.00,0,4,2,8,,195,6,1,0,,1,0,0,3,0,4,,0,,,1,1,131,13,23,,14/35 (40%),1/16 (6%),37%,3,10/26 (38%),8/23 (35%),3/9 (33%),50%,6,5,,14,,2,,,,,5
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1288,Viborg FF,Local,ALL,15/10/2021,12,1,36%,0.00,1,10,5,3,9,342,23,8,,,2,0,6,2,7,3,1,0,,,2,3,277,16,39,,22/39 (56%),2/13 (15%),63%,6,42/67 (63%),10/15 (67%),11/16 (69%),43%,23,11,,24,,5,,,,,6
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1288,Viborg FF,Local,1ST,15/10/2021,12,0,42%,0.00,0,6,3,1,,225,10,2,,,0,0,4,2,5,1,0,0,,,1,2,184,11,23,,12/20 (60%),1/5 (20%),71%,3,18/26 (69%),6/8 (75%),6/8 (75%),40%,10,8,,9,,3,,,,,4
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1288,Viborg FF,Local,2ND,15/10/2021,12,1,29%,0.00,1,4,2,2,,117,13,6,,,2,0,2,0,2,2,1,0,,,1,1,93,5,16,,10/19 (53%),1/8 (13%),58%,3,24/41 (59%),4/7 (57%),5/8 (63%),46%,13,3,,15,,2,,,,,2
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1285,Silkeborg IF,Visita,ALL,15/10/2021,12,1,64%,0.00,2,20,1,9,8,603,11,9,,,6,0,2,12,11,9,1,1,,,1,4,534,28,52,,40/68 (59%),3/17 (18%),37%,5,25/67 (37%),5/15 (33%),5/23 (22%),82%,11,4,,10,,1,,,,,7
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1285,Silkeborg IF,Visita,1ST,15/10/2021,12,0,58%,0.00,1,9,0,2,,308,5,1,,,3,0,0,6,4,5,0,1,,,0,1,266,12,30,,22/38 (58%),2/6 (33%),29%,2,8/26 (31%),2/8 (25%),2/10 (20%),100%,5,4,,4,,0,,,,,5
9554998,39,36834,NORMAL,REGULAR,Round 12,LEAGUE,1285,Silkeborg IF,Visita,2ND,15/10/2021,12,1,71%,0.00,1,11,1,7,,295,6,8,,,3,0,2,6,7,4,1,0,,,1,3,268,16,22,,18/30 (60%),1/11 (9%),42%,3,17/41 (41%),3/7 (43%),3/13 (23%),67%,6,0,,6,,1,,,,,2
9555009,39,36834,NORMAL,REGULAR,Round 13,LEAGUE,1290,AaB,Local,ALL,25/10/2021,13,2,54%,0.00,3,13,3,5,6,551,11,14,,,4,1,5,4,9,4,1,2,,,1,5,467,29,51,,32/57 (56%),6/18 (33%),56%,3,32/55 (58%),12/24 (50%),7/16 (44%),45%,11,9,,13,,3,,,,,5
9555009,39,36834,NORMAL,REGULAR,Round 13,LEAGUE,1290,AaB,Local,1ST,25/10/2021,13,1,54%,0.00,1,10,1,2,,267,4,7,,,2,1,4,4,7,3,0,1,,,0,3,225,15,29,,20/33 (61%),3/7 (43%),58%,1,17/26 (65%),8/17 (47%),6/10 (60%),50%,4,4,,6,,1,,,,,1
9555009,39,36834,NORMAL,REGULAR,Round 13,LEAGUE,1290,AaB,Local,2ND,25/10/2021,13,1,54%,0.00,2,3,2,3,,284,7,7,,,2,0,1,0,2,1,1,1,,,1,2,242,14,22,,12/24 (50%),3/11 (27%),53%,2,15/29 (52%),4/7 (57%),1/6 (17%),43%,7,5,,7,,2,,,,,4
